BOTTLE,20030224WHPSIOdm
#code : jjward hyd_to_exchange.pl 
#original files copied from HTML directory: 20030224
#original HYD file: p14chy.txt   Fri Feb 21 12:53:13 2003
#original SUM file: p14csu.txt   Mon Feb 24 14:35:52 2003
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,CTDOXY,CTDOXY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRAT,NITRAT_FLAG_W,NITRIT,NITRIT_FLAG_W,PHSPHT,PHSPHT_FLAG_W,CFC-11,CFC-11_FLAG_W,CFC-12,CFC-12_FLAG_W,TRITUM,TRITUM_FLAG_W,HELIUM,HELIUM_FLAG_W,DELHE3,DELHE3_FLAG_W,DELC14,DELC14_FLAG_W,DELC13,DELC13_FLAG_W,NEON,NEON_FLAG_W,C14ERR,HELIER,DELHER,NEONER,THETA,TRITER
,,,,,,,,,,,,DBAR,ITS-90,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,PMOL/KG,,PMOL/KG,,TU,,NMOL/KG,,PERCNT,,/MILLE,,/MILLE,,NMOL/KG,,/MILLE,NMOL/KG,PERCNT,NMOL/KG,DEG C,TU
     316N138_7,  P14C,    17,  1,      2,      2,2,19920904,1040,-30.0083, 176.0100, 4289,     16.6,  17.9323,  35.6546,2,  35.6555,2,    240.5,2,    230.7,2,     1.70,2,     0.91,2,     0.10,2,     0.20,2,    2.346,2,    1.253,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 17.9295,-999.000
     316N138_7,  P14C,    17,  1,      3,      3,2,19920904,1040,-30.0083, 176.0100, 4289,     55.9,  17.5263,  35.6224,2,  35.6238,2,    225.3,2,    224.9,2,     1.69,2,     1.93,2,     0.18,2,     0.28,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 17.5169,-999.000
     316N138_7,  P14C,    17,  1,      4,      4,2,19920904,1040,-30.0083, 176.0100, 4289,    105.6,  17.0164,  35.5438,2,-999.0000,9,    200.0,2,    205.0,2,     2.08,2,     4.44,2,     0.05,2,     0.43,2,    2.178,2,    1.150,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 16.9989,-999.000
     316N138_7,  P14C,    17,  1,      5,      5,2,19920904,1040,-30.0083, 176.0100, 4289,    154.6,  16.5554,  35.5062,2,  35.5077,2,    229.5,2,    204.8,4,     2.48,2,     5.24,2,     0.05,2,     0.48,2,    2.180,2,    1.131,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 16.5303,-999.000
     316N138_7,  P14C,    17,  1,      6,      6,2,19920904,1040,-30.0083, 176.0100, 4289,    205.1,  16.3824,  35.5422,2,  35.5438,2,    227.9,2,    232.0,2,     1.86,2,     2.57,2,     0.24,2,     0.34,2,    2.487,2,    1.292,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 16.3493,-999.000
     316N138_7,  P14C,    17,  1,      7,      7,2,19920904,1040,-30.0083, 176.0100, 4289,    256.1,  15.8335,  35.4738,2,  35.4660,2,    196.8,2,    216.6,3,     2.65,2,     4.99,2,     0.07,2,     0.48,2,    2.342,2,    1.231,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 15.7930,-999.000
     316N138_7,  P14C,    17,  1,      8,      8,2,19920904,1040,-30.0083, 176.0100, 4289,    306.2,  14.4337,  35.2955,2,  35.2863,2,    195.7,2,    198.1,2,     4.06,2,     9.29,2,     0.01,2,     0.75,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.3882,-999.000
     316N138_7,  P14C,    17,  1,      9,      9,2,19920904,1040,-30.0083, 176.0100, 4289,    357.1,  13.1449,  35.1644,2,  35.1321,2,    191.1,2,    192.6,2,     5.46,2,    12.29,2,     0.01,2,     0.93,2,    1.794,2,    0.931,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 13.0951,-999.000
     316N138_7,  P14C,    17,  1,     10,     10,2,19920904,1040,-30.0083, 176.0100, 4289,    407.4,  11.8353,  34.9946,2,  34.9971,2,    193.7,2,    192.0,2,     6.46,2,    14.59,2,     0.01,2,     1.07,2,    1.556,2,    0.797,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 11.7821,-999.000
     316N138_7,  P14C,    17,  1,     11,     11,2,19920904,1040,-30.0083, 176.0100, 4289,    507.0,  10.3587,  34.8430,2,  34.8444,2,    194.0,2,    191.2,2,     9.48,2,    18.08,2,     0.01,2,     1.29,2,    1.319,2,    0.672,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 10.2978,-999.000
     316N138_7,  P14C,    17,  1,     12,     12,2,19920904,1040,-30.0083, 176.0100, 4289,    606.7,   8.8303,  34.6749,2,  34.6825,2,    197.6,2,    195.2,2,    13.31,2,    21.31,2,     0.01,2,     1.50,2,    1.195,4,    0.483,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  8.7639,-999.000
     316N138_7,  P14C,    17,  1,     37,     37,4,19920904,1040,-30.0083, 176.0100, 4289,    705.8,   7.9197,  34.5969,2,  34.5975,2,    198.3,2,    195.8,2,    17.33,2,    23.38,3,     0.00,2,     1.63,2,    0.701,2,    0.373,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  7.8468,-999.000
     316N138_7,  P14C,    17,  1,     13,     13,4,19920904,1040,-30.0083, 176.0100, 4289,    805.3,   6.9942,  34.5089,2,  34.5107,2,    199.9,2,    198.8,2,    20.38,2,    25.17,2,     0.01,2,     1.76,2,    0.478,2,    0.263,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  6.9161,-999.000
     316N138_7,  P14C,    17,  1,     14,     14,4,19920904,1040,-30.0083, 176.0100, 4289,    855.3,   6.4435,  34.4489,2,  34.4548,2,    201.8,2,    202.2,2,    21.39,2,    26.23,2,     0.01,2,     1.83,2,    0.330,2,    0.183,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  6.3638,-999.000
     316N138_7,  P14C,    17,  1,     15,     15,4,19920904,1040,-30.0083, 176.0100, 4289,    904.4,   6.0117,  34.4320,2,  34.4323,2,    199.1,2,    203.0,2,    25.63,2,    27.43,2,     0.01,2,     1.92,2,    0.234,2,    0.129,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  5.9301,-999.000
     316N138_7,  P14C,    17,  1,     16,     16,4,19920904,1040,-30.0083, 176.0100, 4289,   1002.8,   5.2671,  34.4233,2,  34.4230,2,    191.7,2,    190.2,2,    35.34,2,    29.61,2,     0.01,2,     2.06,2,    0.126,2,    0.066,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  5.1816,-999.000
     316N138_7,  P14C,    17,  1,     17,     17,4,19920904,1040,-30.0083, 176.0100, 4289,   1102.9,   4.5615,  34.4296,2,  34.4311,2,    182.5,2,    182.0,2,    46.67,2,    31.44,2,     0.01,2,     2.19,2,    0.057,2,    0.032,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  4.4726,-999.000
     316N138_7,  P14C,    17,  1,     18,     18,4,19920904,1040,-30.0083, 176.0100, 4289,   1205.9,   4.0888,  34.4453,2,  34.4472,2,    176.7,2,    176.6,2,    55.99,2,    32.70,2,     0.01,2,     2.27,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  3.9950,-999.000
     316N138_7,  P14C,    17,  1,     19,     19,4,19920904,1040,-30.0083, 176.0100, 4289,   1307.7,   3.5602,  34.4864,2,-999.0000,9,    166.1,2,    169.1,2,    69.80,2,    33.73,2,     0.01,2,     2.35,2,    0.012,2,    0.007,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  3.4626,-999.000
     316N138_7,  P14C,    17,  1,     20,     20,4,19920904,1040,-30.0083, 176.0100, 4289,   1409.9,   3.2394,  34.5335,2,  34.5309,2,    163.1,2,    163.6,2,    82.44,2,    34.22,2,     0.01,2,     2.39,2,    0.006,2,    0.003,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  3.1365,-999.000
     316N138_7,  P14C,    17,  1,     21,     21,4,19920904,1040,-30.0083, 176.0100, 4289,   1512.3,   3.0275,  34.5689,2,  34.5671,2,    160.2,2,    160.7,2,    90.42,2,    34.31,2,     0.01,2,     2.40,2,    0.010,4,    0.017,4, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  2.9184,-999.000
     316N138_7,  P14C,    17,  1,     38,     38,4,19920904,1040,-30.0083, 176.0100, 4289,   1615.0,   2.8197,  34.5917,2,  34.5903,2,    158.5,2,    157.9,2,    98.24,2,    34.62,2,     0.01,2,     2.43,2,    0.006,2,   -0.001,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  2.7043,-999.000
     316N138_7,  P14C,    17,  1,     23,     23,4,19920904,1040,-30.0083, 176.0100, 4289,   1818.7,   2.4729,  34.6209,2,  34.6209,2,    154.4,2,    154.9,2,   109.22,2,    35.12,2,     0.00,2,     2.47,2,    0.003,2,    0.003,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  2.3449,-999.000
     316N138_7,  P14C,    17,  1,     24,     24,4,19920904,1040,-30.0083, 176.0100, 4289,   2017.4,   2.2610,  34.6389,2,  34.6415,2,    152.9,2,    153.5,2,   115.08,2,    35.34,2,     0.00,2,     2.48,2,   -0.004,2,    0.000,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  2.1191,-999.000
     316N138_7,  P14C,    17,  1,     25,     25,4,19920904,1040,-30.0083, 176.0100, 4289,   2220.8,   2.1052,  34.6522,2,  34.6544,2,    154.1,2,    153.4,2,   119.49,2,    35.38,2,     0.00,2,     2.48,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.9480,-999.000
     316N138_7,  P14C,    17,  1,     26,     26,4,19920904,1040,-30.0083, 176.0100, 4289,   2424.7,   2.0162,  34.6600,2,  34.6633,2,    154.1,2,    153.7,2,   121.82,2,    35.38,2,     0.00,2,     2.48,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.8424,-999.000
     316N138_7,  P14C,    17,  1,     27,     27,4,19920904,1040,-30.0083, 176.0100, 4289,   2630.6,   1.9313,  34.6690,2,  34.6709,2,    154.9,2,    154.4,2,   124.37,2,    35.38,2,     0.00,2,     2.48,2,    0.007,2,   -0.001,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.7402,-999.000
     316N138_7,  P14C,    17,  1,     28,     28,4,19920904,1040,-30.0083, 176.0100, 4289,   2834.2,   1.8883,  34.6736,2,  34.6762,2,    155.0,2,    154.9,2,   126.07,2,    35.43,2,     0.00,2,     2.48,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.6790,-999.000
     316N138_7,  P14C,    17,  1,     29,     29,4,19920904,1040,-30.0083, 176.0100, 4289,   3039.2,   1.8663,  34.6764,2,  34.6790,2,    155.7,2,    155.3,2,   126.50,2,    35.38,2,     0.00,2,     2.48,2,    0.000,2,    0.009,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.6377,-999.000
     316N138_7,  P14C,    17,  1,     30,     30,4,19920904,1040,-30.0083, 176.0100, 4289,   3242.7,   1.8533,  34.6790,2,  34.6811,2,    155.2,2,    155.5,2,   127.58,2,    35.38,2,     0.00,2,     2.48,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.6047,-999.000
     316N138_7,  P14C,    17,  1,     31,     31,4,19920904,1040,-30.0083, 176.0100, 4289,   3447.3,   1.8543,  34.6811,2,  34.6852,3,    155.1,2,    155.8,2,   128.01,2,    35.38,2,     0.00,2,     2.47,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.5848,-999.000
     316N138_7,  P14C,    17,  1,     32,     32,4,19920904,1040,-30.0083, 176.0100, 4289,   3650.5,   1.8623,  34.6815,2,  34.6848,2,    155.5,2,    155.8,2,   128.23,2,    35.38,2,     0.00,2,     2.47,2,    0.000,2,   -0.007,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.5712,-999.000
     316N138_7,  P14C,    17,  1,     33,     33,4,19920904,1040,-30.0083, 176.0100, 4289,   3855.2,   1.8723,  34.6830,2,  34.6843,2,    156.1,2,    155.6,2,   128.88,2,    35.38,2,     0.00,2,     2.47,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.5589,-999.000
     316N138_7,  P14C,    17,  1,     34,     34,4,19920904,1040,-30.0083, 176.0100, 4289,   4057.0,   1.8893,  34.6821,2,  34.6860,2,    156.0,2,    155.8,2,   129.32,2,    35.38,2,     0.00,2,     2.48,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.5531,-999.000
     316N138_7,  P14C,    17,  1,     35,     35,4,19920904,1040,-30.0083, 176.0100, 4289,   4331.3,   1.9163,  34.6837,2,  34.6841,2,    153.8,2,    155.8,2,   129.11,2,    35.38,2,     0.00,2,     2.48,2,   -0.001,2,    0.007,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  1.5481,-999.000
     316N138_7,  P14C,    18,  1,      1,      1,2,19920904,1633,-29.5717, 176.0817, 4277,      1.8,  18.1587,  35.6580,2,  35.6565,2,    224.7,2,    228.1,2,     1.63,2,     0.73,2,     0.14,2,     0.19,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,    123.1,2,     1.41,2,-999.000,9,     3.5,-999.0000,-999.000,-999.000, 18.1584,-999.000
     316N138_7,  P14C,    18,  1,      2,      2,2,19920904,1633,-29.5717, 176.0817, 4277,     17.9,  18.1662,  35.6609,2,  35.6591,2,    223.2,2,    228.0,2,     1.61,2,     0.73,2,     0.14,2,     0.18,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 18.1631,-999.000
     316N138_7,  P14C,    18,  1,      3,      3,4,19920904,1633,-29.5717, 176.0817, 4277,     57.4,  18.0310,  35.6584,2,  35.3765,4,    227.1,2,    207.5,4,     5.79,4,     7.23,4,     0.08,4,     0.58,4, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     82.8,4,     1.22,2,-999.000,9,     3.5,-999.0000,-999.000,-999.000, 18.0211,-999.000
     316N138_7,  P14C,    18,  1,      4,      4,2,19920904,1633,-29.5717, 176.0817, 4277,    106.8,  17.8007,  35.6406,2,  35.6382,2,    226.6,2,    225.1,2,     2.17,2,     1.53,2,     0.18,2,     0.24,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,    103.1,2,     1.37,2,-999.000,9,     3.6,-999.0000,-999.000,-999.000, 17.7825,-999.000
     316N138_7,  P14C,    18,  1,      5,      5,2,19920904,1633,-29.5717, 176.0817, 4277,    155.5,  17.0518,  35.5607,2,  35.5595,2,    231.2,2,    219.1,2,     2.15,2,     3.06,2,     0.18,2,     0.35,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,    114.1,2,     1.25,2,-999.000,9,     4.2,-999.0000,-999.000,-999.000, 17.0260,-999.000
     316N138_7,  P14C,    18,  1,      6,      6,2,19920904,1633,-29.5717, 176.0817, 4277,    203.6,  16.7997,  35.5432,2,  35.5408,2,    224.8,2,    223.8,2,     2.13,2,     2.99,2,     0.21,2,     0.34,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,    109.9,2,     1.31,2,-999.000,9,     3.4,-999.0000,-999.000,-999.000, 16.7662,-999.000
     316N138_7,  P14C,    18,  1,      7,      7,2,19920904,1633,-29.5717, 176.0817, 4277,    250.4,  15.9645,  35.4504,2,  35.4543,2,    199.3,2,    199.3,2,     3.11,2,     6.37,2,     0.02,2,     0.55,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 15.9248,-999.000
     316N138_7,  P14C,    18,  1,      8,      8,2,19920904,1633,-29.5717, 176.0817, 4277,    297.6,  15.0004,  35.3528,2,  35.3516,2,    198.9,2,    195.6,2,     3.68,2,     8.26,2,     0.01,2,     0.66,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     90.7,2,     1.18,2,-999.000,9,     3.4,-999.0000,-999.000,-999.000, 14.9550,-999.000
     316N138_7,  P14C,    18,  1,      9,      9,2,19920904,1633,-29.5717, 176.0817, 4277,    340.9,  14.0831,  35.2504,2,  35.2469,2,    194.9,2,    192.5,2,     4.86,2,    10.14,2,     0.01,2,     0.78,2,    1.871,2,    0.972,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,9,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000, 14.0333,-999.000
     316N138_7,  P14C,    18,  1,     10,     10,2,19920904,1633,-29.5717, 176.0817, 4277,    379.2,  13.4933,  35.1765,2,  35.1736,2,    189.5,2,    188.3,2,     5.04,2,    11.62,2,     0.01,2,     0.88,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     67.5,2,     1.17,2,-999.000,9,     4.0,-999.0000,-999.000,-999.000, 13.4394,-999.000
     316N138_7,  P14C,    18,  1,     39,     39,2,19920904,1633,-29.5717, 176.0817, 4277,    463.9,  11.9538,  35.0167,2,  35.0165,2,    193.6,2,    192.3,2,     7.02,2,    14.29,2,     0.01,2,     1.04,2,    1.640,2,    0.864,2, -999.000,9,-999.0000,9,  -999.00,9,     49.5,2,     1.10,2,-999.000,9,     3.0,-999.0000,-999.000,-999.000, 11.8928,-999.000
     316N138_7,  P14C,    18,  1,     12,     12,2,19920904,1633,-29.5717, 176.0817, 4277,    545.0,  10.4165,  34.8483,2,  34.8459,2,    191.2,2,    191.5,2,     9.59,2,    17.83,2,     0.00,2,     1.26,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     25.9,2,     1.10,2,-999.000,9,     3.0,-999.0000,-999.000,-999.000, 10.3506,-999.000
     316N138_7,  P14C,    18,  1,     13,     13,2,19920904,1633,-29.5717, 176.0817, 4277,    630.7,   8.4490,  34.5728,2,  34.5708,2,    202.7,2,    208.5,2,     8.97,2,    20.46,2,     0.00,2,     1.43,2,    1.002,2,    0.515,2, -999.000,9,-999.0000,9,  -999.00,9,      3.4,2,     1.24,2,-999.000,9,     3.4,-999.0000,-999.000,-999.000,  8.3817,-999.000
     316N138_7,  P14C,    18,  1,     14,     14,2,19920904,1633,-29.5717, 176.0817, 4277,    721.8,   7.7451,  34.5068,2,  34.5041,2,    208.5,2,    211.4,2,    10.75,2,    22.16,2,     0.00,2,     1.54,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,     -4.2,2,     1.28,2,-999.000,9,     3.1,-999.0000,-999.000,-999.000,  7.6715,-999.000
     316N138_7,  P14C,    18,  1,     15,     15,2,19920904,1633,-29.5717, 176.0817, 4277,    811.9,   6.6657,  34.4352,2,  34.4326,2,    209.3,2,    200.9,3,    17.11,2,    25.22,2,     0.00,2,     1.75,2,    0.350,2,    0.196,2, -999.000,9,-999.0000,9,  -999.00,9,    -58.2,2,     1.19,2,-999.000,9,     3.2,-999.0000,-999.000,-999.000,  6.5891,-999.000
     316N138_7,  P14C,    18,  1,     16,     16,2,19920904,1633,-29.5717, 176.0817, 4277,    902.6,   5.9633,  34.3967,2,  34.3938,2,    204.7,2,    203.3,2,    22.68,2,    27.15,2,     0.00,2,     1.89,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,    -77.1,6,     1.13,2,-999.000,9,     3.7,-999.0000,-999.000,-999.000,  5.8823,-999.000
     316N138_7,  P14C,    18,  1,     17,     17,2,19920904,1633,-29.5717, 176.0817, 4277,    997.0,   5.2316,  34.3849,2,  34.3836,2,    195.1,2,    195.4,2,    31.24,2,    29.38,2,     0.00,2,     2.02,2,    0.095,2,    0.069,2, -999.000,9,-999.0000,9,  -999.00,9,   -999.0,5,  -999.00,9,-999.000,9,  -999.0,-999.0000,-999.000,-999.000,  5.1470,-999.000
     316N138_7,  P14C,    18,  1,     18,     18,2,19920904,1633,-29.5717, 176.0817, 4277,   1090.7,   4.7340,  34.3999,2,  34.3976,2,    188.7,2,    187.1,2,    40.59,2,    30.79,2,     0.00,2,     2.14,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -105.1,2,     0.91,2,-999.000,9,     2.8,-999.0000,-999.000,-999.000,  4.6448,-999.000
     316N138_7,  P14C,    18,  1,     19,     19,2,19920904,1633,-29.5717, 176.0817, 4277,   1184.9,   4.1424,  34.4295,2,  34.4258,2,    177.8,2,    178.4,2,    52.54,2,    32.37,2,     0.00,2,     2.23,2,    0.021,2,    0.017,2, -999.000,9,-999.0000,9,  -999.00,9,   -121.4,2,     0.80,2,-999.000,9,     3.0,-999.0000,-999.000,-999.000,  4.0500,-999.000
     316N138_7,  P14C,    18,  1,     20,     20,2,19920904,1633,-29.5717, 176.0817, 4277,   1280.5,   3.6953,  34.4687,2,  34.4656,2,    170.5,2,    171.3,2,    64.70,2,    33.16,2,     0.00,2,     2.31,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -151.9,2,     0.70,2,-999.000,9,     4.4,-999.0000,-999.000,-999.000,  3.5988,-999.000
     316N138_7,  P14C,    18,  1,     21,     21,2,19920904,1633,-29.5717, 176.0817, 4277,   1377.1,   3.3524,  34.5141,2,  34.5121,2,    165.0,2,    165.4,2,    76.90,2,    33.68,2,     0.00,2,     2.35,2,    0.007,2,    0.003,2, -999.000,9,-999.0000,9,  -999.00,9,   -167.8,2,     0.54,2,-999.000,9,     6.5,-999.0000,-999.000,-999.000,  3.2511,-999.000
     316N138_7,  P14C,    18,  1,     38,     38,2,19920904,1633,-29.5717, 176.0817, 4277,   1470.1,   3.0486,  34.5565,2,  34.5543,2,    159.7,2,    161.0,2,    88.74,2,    34.07,2,     0.00,2,     2.38,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -170.3,2,     0.54,2,-999.000,9,     4.3,-999.0000,-999.000,-999.000,  2.9428,-999.000
     316N138_7,  P14C,    18,  1,     23,     23,2,19920904,1633,-29.5717, 176.0817, 4277,   1656.5,   2.6503,  34.6048,2,  34.6020,2,    156.4,2,    156.5,2,   102.90,2,    34.50,2,     0.00,2,     2.41,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -179.0,2,     0.42,2,-999.000,9,     3.6,-999.0000,-999.000,-999.000,  2.5335,-999.000
     316N138_7,  P14C,    18,  1,     24,     24,2,19920904,1633,-29.5717, 176.0817, 4277,   1854.2,   2.4187,  34.6248,2,  34.6232,2,    153.7,2,    154.5,2,   109.61,2,    34.85,2,     0.00,2,     2.44,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -194.7,2,     0.38,2,-999.000,9,     3.5,-999.0000,-999.000,-999.000,  2.2885,-999.000
     316N138_7,  P14C,    18,  1,     25,     25,2,19920904,1633,-29.5717, 176.0817, 4277,   2052.1,   2.2249,  34.6420,2,  34.6410,2,    153.2,2,    153.8,2,   115.12,2,    35.02,2,     0.00,2,     2.45,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -195.5,2,     0.30,2,-999.000,9,     3.7,-999.0000,-999.000,-999.000,  2.0805,-999.000
     316N138_7,  P14C,    18,  1,     26,     26,2,19920904,1633,-29.5717, 176.0817, 4277,   2253.6,   2.0949,  34.6539,2,  34.6523,2,    153.7,2,    153.5,2,   118.59,2,    34.96,2,     0.00,2,     2.45,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -192.0,2,     0.31,2,-999.000,9,     3.7,-999.0000,-999.000,-999.000,  1.9350,-999.000
     316N138_7,  P14C,    18,  1,     27,     27,2,19920904,1633,-29.5717, 176.0817, 4277,   2456.5,   2.0051,  34.6622,2,  34.6615,2,    153.8,2,    154.4,2,   121.24,2,    35.00,2,     0.00,2,     2.45,2, -999.000,9, -999.000,9, -999.000,9,-999.0000,9,  -999.00,9,   -194.6,2,     0.25,2,-999.000,9,     3.6,-999.0000,-999.000,-999.000,  1.8287,-999.000
